itemcf_weight,mf_weight,usercf_weight,fold_1_rmse,fold_2_rmse,fold_3_rmse,fold_4_rmse,fold_5_rmse,mean_rmse,std_rmse
0.480000,0.340000,0.180000,16.809530,16.906121,16.882374,16.829038,16.809871,16.847387,0.039626
0.520000,0.330000,0.150000,16.811843,16.907106,16.881382,16.829309,16.809017,16.847731,0.039456
0.510000,0.330000,0.160000,16.811300,16.906986,16.881860,16.829468,16.809490,16.847821,0.039494
0.550000,0.340000,0.110000,16.814299,16.908065,16.880135,16.829043,16.807676,16.847844,0.039399
0.530000,0.330000,0.140000,16.812597,16.907442,16.881119,16.829368,16.808749,16.847855,0.039424
0.560000,0.370000,0.070000,16.816497,16.908875,16.879139,16.828437,16.806432,16.847876,0.039442
0.420000,0.370000,0.210000,16.807952,16.905992,16.884519,16.829359,16.811765,16.847917,0.039902
0.560000,0.360000,0.080000,16.816043,16.908769,16.879436,16.828710,16.806811,16.847954,0.039423
0.560000,0.380000,0.060000,16.817165,16.909196,16.879060,16.828385,16.806269,16.848015,0.039463
0.500000,0.330000,0.170000,16.810966,16.907076,16.882553,16.829847,16.810175,16.848123,0.039536
0.450000,0.350000,0.200000,16.808966,16.906478,16.884096,16.829845,16.811506,16.848178,0.039768
0.470000,0.340000,0.190000,16.809677,16.906701,16.883555,16.829917,16.811060,16.848182,0.039674
0.540000,0.330000,0.130000,16.813517,16.907992,16.881072,16.829645,16.808702,16.848186,0.039403
0.560000,0.350000,0.090000,16.815805,16.908878,16.879948,16.829205,16.807410,16.848249,0.039405
0.560000,0.390000,0.050000,16.818048,16.909731,16.879199,16.828555,16.806308,16.848368,0.039489
0.430000,0.360000,0.210000,16.808710,16.906710,16.885083,16.830231,16.812420,16.848631,0.039863
0.490000,0.330000,0.180000,16.810843,16.907380,16.883461,16.830446,16.811081,16.848642,0.039581
0.550000,0.330000,0.120000,16.814639,16.908758,16.881217,16.830142,16.808876,16.848726,0.039382
0.560000,0.340000,0.100000,16.815780,16.909201,16.880643,16.829922,16.808230,16.848755,0.039382
0.400000,0.380000,0.220000,16.808336,16.906860,16.886127,16.830382,16.813332,16.849007,0.039997
0.460000,0.340000,0.200000,16.810034,16.907496,16.884951,16.831015,16.812469,16.849193,0.039725
0.530000,0.320000,0.150000,16.813458,16.908659,16.882757,16.831010,16.810488,16.849274,0.039417
0.520000,0.320000,0.160000,16.812857,16.908478,16.883178,16.831114,16.810916,16.849309,0.039451
0.480000,0.330000,0.190000,16.810929,16.907899,16.884584,16.831265,16.812208,16.849377,0.039629
0.570000,0.360000,0.070000,16.818035,16.910430,16.880504,16.830130,16.807905,16.849401,0.039418
0.540000,0.320000,0.140000,16.814222,16.909055,16.882539,16.831126,16.810282,16.849445,0.039392
0.440000,0.350000,0.210000,16.809593,16.907548,16.885763,16.831222,16.813198,16.849465,0.039822
0.560000,0.330000,0.110000,16.815971,16.909739,16.881550,16.830859,16.809270,16.849478,0.039360
0.570000,0.370000,0.060000,16.818638,16.910691,16.880368,16.830018,16.807686,16.849480,0.039440
0.570000,0.350000,0.080000,16.817646,16.910384,16.880819,16.830464,16.808345,16.849531,0.039392
