blend,models,weights,fold_1_rmse,fold_2_rmse,fold_3_rmse,fold_4_rmse,fold_5_rmse,mean_rmse,std_rmse
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.70+0.20+0.10,16.886597,16.967708,16.935936,16.893369,16.866256,16.909973,0.036717
Triple_ItemCF_MFb_UserCF,ItemCF_tuned+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.50+0.25+0.25,16.872439,16.960818,16.950922,16.894037,16.872646,16.910172,0.038257
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.30+0.55+0.15,16.891686,16.960096,16.947744,16.883603,16.868249,16.910276,0.036631
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.70+0.25+0.05,16.889272,16.967027,16.936638,16.893076,16.865538,16.910310,0.036481
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.50+0.20+0.30,16.871912,16.961972,16.947433,16.894676,16.876116,16.910422,0.037243
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.35+0.55+0.10,16.895361,16.961311,16.945534,16.884313,16.866006,16.910505,0.036616
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.60+0.15+0.25,16.875837,16.965382,16.942630,16.895572,16.873302,16.910544,0.037020
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.70+0.15+0.15,16.881441,16.967411,16.938915,16.895248,16.869793,16.910561,0.036825
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.50+0.20+0.30,16.873617,16.963219,16.946301,16.894634,16.875381,16.910631,0.037166
Triple_ItemCF_MFb_UserCF,ItemCF_tuned+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.60+0.25+0.15,16.878907,16.963810,16.947811,16.894736,16.869301,16.910913,0.037887
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.30+0.40+0.30,16.878414,16.960476,16.951394,16.889169,16.876048,16.911100,0.036985
Triple_ItemCF_MFb_UserCF,ItemCF_tuned+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.30+0.50+0.20,16.884949,16.958877,16.953493,16.886881,16.871452,16.911131,0.037208
Triple_ItemCF_MFb_UserCF,ItemCF_tuned+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.40+0.50+0.10,16.890809,16.960321,16.949832,16.888056,16.866650,16.911134,0.036990
Triple_ItemCF_MF_UserCF,ItemCF_tuned+MF_tuned+UserCF_tuned,0.35+0.40+0.25,16.875859,16.957555,16.956354,16.890868,16.875624,16.911252,0.037725
Triple_ItemCF_MFb_UserCF,ItemCF_tuned+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.30+0.45+0.25,16.880585,16.959187,16.954791,16.888816,16.874132,16.911502,0.037456
Triple_ItemCF_MF_UserCF,ItemCF_tuned+MF_tuned+UserCF_tuned,0.60+0.25+0.15,16.878040,16.963641,16.950262,16.896036,16.871300,16.911856,0.037935
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.35+0.55+0.10,16.892422,16.959736,16.950785,16.886071,16.870280,16.911859,0.036274
Triple_ItemCF_MFb_UserCF,ItemCF_tuned+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.60+0.30+0.10,16.884483,16.964795,16.947625,16.894621,16.868071,16.911919,0.037538
Triple_ItemCF_MF_UserCF,ItemCF_tuned+MF_tuned+UserCF_tuned,0.50+0.25+0.25,16.872581,16.961537,16.954372,16.896305,16.875650,16.912089,0.038395
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.70+0.15+0.15,16.884426,16.969900,16.939691,16.896819,16.870896,16.912347,0.036875
Pair_ItemCFb_MF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned,0.59+0.41,16.897262,16.965990,16.941594,16.891961,16.866029,16.912567,0.036114
Pair_ItemCFb_MF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned,0.60+0.40,16.897097,16.966259,16.941296,16.892230,16.866017,16.912580,0.036133
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.60+0.40+0.00,16.897097,16.966259,16.941296,16.892230,16.866017,16.912580,0.036133
Pair_ItemCFb_MF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned,0.58+0.42,16.897549,16.965846,16.942020,16.891812,16.866130,16.912671,0.036107
Pair_ItemCFb_MF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned,0.61+0.39,16.897036,16.966653,16.941092,16.892618,16.866134,16.912707,0.036150
Triple_ItemCF_MF_UserCF,ItemCF_tuned+MF_tuned+UserCF_tuned,0.60+0.30+0.10,16.883191,16.964391,16.950357,16.895939,16.870282,16.912832,0.037526
Pair_ItemCFb_MF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned,0.57+0.43,16.897958,16.965825,16.942575,16.891783,16.866354,16.912899,0.036104
Pair_ItemCFb_MF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned,0.62+0.38,16.897087,16.967171,16.940963,16.893127,16.866331,16.912936,0.036173
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.30+0.55+0.15,16.890451,16.960045,16.954583,16.886965,16.874119,16.913233,0.036442
Pair_ItemCFb_MF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned,0.56+0.44,16.898469,16.965922,16.943259,16.891872,16.866704,16.913245,0.036102
Pair_ItemCFb_MF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned,0.63+0.37,16.897261,16.967813,16.940962,16.893719,16.866648,16.913280,0.036205
Triple_ItemCF_MF_UserCF,ItemCF_tuned+MF_tuned+UserCF_tuned,0.35+0.50+0.15,16.886519,16.959273,16.957179,16.890103,16.873673,16.913349,0.037053
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.70+0.25+0.05,16.894664,16.971512,16.938281,16.896097,16.867692,16.913649,0.036703
Pair_ItemCFb_MF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned,0.55+0.45,16.899091,16.966143,16.944071,16.892078,16.867184,16.913714,0.036104
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.55+0.45+0.00,16.899091,16.966143,16.944071,16.892078,16.867184,16.913714,0.036104
Pair_ItemCFb_MF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned,0.64+0.36,16.897557,16.968580,16.941089,16.894420,16.867093,16.913748,0.036239
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.25+0.50+0.25,16.887048,16.962617,16.954662,16.888488,16.876796,16.913922,0.036819
