name,status,rmse,train_seconds,predict_seconds,memory_mb,error
ItemCF_k60_n200_sh120_mc2,ok,17.15345278620603,4.7676131419998455,0.7230819050000719,97.4746322631836,
ItemCF_k60_n240_sh50_mc2,ok,17.13477804602407,4.4205818340001315,0.7144093520000752,105.7497444152832,
ItemCF_k60_n240_sh80_mc2,ok,17.126532670960028,4.407944059999863,0.7258417090001785,105.7497444152832,
ItemCF_k60_n240_sh120_mc2,ok,17.121813753549958,4.421389196000291,0.7233531789997869,105.7497444152832,
ItemCF_k60_n320_sh50_mc2,ok,17.106005823339935,3.913995333999992,0.7814250589999574,121.3513412475586,
ItemCF_k60_n320_sh80_mc2,ok,17.105839209541756,3.867790229000093,0.783387502000096,121.3513412475586,
ItemCF_k60_n320_sh120_mc2,ok,17.097439902076584,3.884628856999825,0.8001547329999994,121.3513412475586,
ItemCF_k80_n200_sh50_mc2,ok,17.176620413024008,3.575345644999743,0.6910767229996964,97.4746322631836,
ItemCF_k80_n200_sh80_mc2,ok,17.16572673771655,3.7986818629997288,0.727750909000406,97.4746322631836,
ItemCF_k80_n200_sh120_mc2,ok,17.159913365901215,3.935939960000269,0.7071846230001029,97.4746322631836,
ItemCF_k80_n240_sh50_mc2,ok,17.14301009832801,3.9796841190000123,0.7074189559998558,105.7497444152832,
ItemCF_k80_n240_sh80_mc2,ok,17.135979950771763,4.03034069000023,0.6891512329998477,105.7497444152832,
ItemCF_k80_n240_sh120_mc2,ok,17.12972572724826,4.00023413200006,0.7153734869998516,105.7497444152832,
ItemCF_k80_n320_sh50_mc2,ok,17.114718170566523,4.337863107999965,0.7631365059996824,121.3513412475586,
ItemCF_k80_n320_sh80_mc2,ok,17.116432330554566,4.227294087000246,0.826485047999995,121.3513412475586,
ItemCF_k80_n320_sh120_mc2,ok,17.106348002595873,3.8323445410001113,0.8165145259999917,121.3513412475586,
UserCF_k20_n120_sh30_mc2,ok,17.72009699502103,0.6813565480001671,0.2021710690000873,14.66104507446289,
UserCF_k20_n120_sh30_mc3,ok,17.720276409484686,0.6400926860001164,0.1974163810000391,14.471199035644531,
UserCF_k20_n120_sh30_mc5,ok,17.733052066720138,0.6196987469998021,0.17640577200018015,13.96221923828125,
UserCF_k20_n120_sh50_mc2,ok,17.679662668397228,0.6567762499998935,0.16878035200033992,14.66104507446289,
UserCF_k20_n120_sh50_mc3,ok,17.680709837220217,0.680203333999998,0.1824845619998996,14.471199035644531,
UserCF_k20_n120_sh50_mc5,ok,17.69877395012311,0.695279593000123,0.19856473700019706,13.96221923828125,
UserCF_k20_n120_sh80_mc2,ok,17.67670672342681,0.644183427000371,0.16474286999982724,14.66104507446289,
UserCF_k20_n120_sh80_mc3,ok,17.677684016823832,0.7630320400003257,0.19946524199986015,14.471199035644531,
UserCF_k20_n120_sh80_mc5,ok,17.70526503279387,0.8046996459997899,0.16507526799978223,13.96221923828125,
UserCF_k20_n200_sh30_mc2,ok,17.646955821013588,0.7937149780000254,0.2035200829996029,19.209049224853516,
UserCF_k20_n200_sh30_mc3,ok,17.644886016247106,0.6988027870002043,0.2103065900000729,18.53420639038086,
UserCF_k20_n200_sh30_mc5,ok,17.66710105643177,0.779449129999648,0.19063792700035265,17.076213836669922,
UserCF_k20_n200_sh50_mc2,ok,17.64639471727218,0.7005330339998181,0.2232043390004037,19.209049224853516,
UserCF_k20_n200_sh50_mc3,ok,17.653082248917592,0.8297635190001529,0.25252083999976094,18.53420639038086,
UserCF_k20_n200_sh50_mc5,ok,17.673036264665594,0.8252951530002974,0.2489232599996285,17.076213836669922,
UserCF_k20_n200_sh80_mc2,ok,17.664949706608716,0.8578411589996904,0.21160587700023825,19.209049224853516,
UserCF_k20_n200_sh80_mc3,ok,17.66887782398046,0.7413267400002042,0.2700201669999842,18.53420639038086,
UserCF_k20_n200_sh80_mc5,ok,17.685814473544546,0.6460579449999386,0.24781965100009984,17.076213836669922,
UserCF_k20_n400_sh30_mc2,ok,17.63833065116343,0.7881515660001241,0.28995752399987396,26.713130950927734,
UserCF_k20_n400_sh30_mc3,ok,17.640668622788567,1.3245295479996457,0.35879192399988824,23.93246841430664,
UserCF_k20_n400_sh30_mc5,ok,17.675395259123476,1.1844408769998154,0.34886753999990106,20.33938217163086,
UserCF_k20_n400_sh50_mc2,ok,17.649688432358655,0.7754135690001931,0.2783408559998861,26.713130950927734,
UserCF_k20_n400_sh50_mc3,ok,17.652946001375142,0.8107950630001142,0.34027143599996634,23.93246841430664,
UserCF_k20_n400_sh50_mc5,ok,17.682515604622743,0.8847511420003684,0.3121374120000837,20.33938217163086,
UserCF_k20_n400_sh80_mc2,ok,17.664073652745383,0.8460889440002575,0.3268557920000603,26.713130950927734,
UserCF_k20_n400_sh80_mc3,ok,17.667074275170673,0.8505688919999557,0.2735102579999875,23.93246841430664,
UserCF_k20_n400_sh80_mc5,ok,17.69064000316577,0.9613060729998324,0.2708700329999374,20.33938217163086,
UserCF_k40_n120_sh30_mc2,ok,17.707078103756686,0.7634797610003261,0.20899975899965284,14.66104507446289,
UserCF_k40_n120_sh30_mc3,ok,17.707585580880288,0.8208047729999635,0.19945602600000711,14.471199035644531,
UserCF_k40_n120_sh30_mc5,ok,17.719254332152065,0.8131888000002618,0.2587649400002192,13.96221923828125,
UserCF_k40_n120_sh50_mc2,ok,17.670823621081436,0.7631757090002793,0.18770507899989752,14.66104507446289,
UserCF_k40_n120_sh50_mc3,ok,17.671341676363117,0.7377729240001827,0.18724858200039307,14.471199035644531,
UserCF_k40_n120_sh50_mc5,ok,17.688942258953396,0.631757068999832,0.20263065600011032,13.96221923828125,
UserCF_k40_n120_sh80_mc2,ok,17.665807086002406,0.6111205080001127,0.17351613799974075,14.66104507446289,
UserCF_k40_n120_sh80_mc3,ok,17.66581298000517,0.7225446920001559,0.22925114500003474,14.471199035644531,
UserCF_k40_n120_sh80_mc5,ok,17.69396592530186,0.8727829250001378,0.17177342400009366,13.96221923828125,
UserCF_k40_n200_sh30_mc2,ok,17.632876075064928,0.7544959619999645,0.2262058149999575,19.209049224853516,
UserCF_k40_n200_sh30_mc3,ok,17.63057376425783,0.8102871139999479,0.2502119039995705,18.53420639038086,
UserCF_k40_n200_sh30_mc5,ok,17.653615266681353,0.7882395130000077,0.2271832500000528,17.076213836669922,
UserCF_k40_n200_sh50_mc2,ok,17.635812151209134,0.7557918800002881,0.20769688000018505,19.209049224853516,
UserCF_k40_n200_sh50_mc3,ok,17.641666063757356,0.7414128469999923,0.18965733599998202,18.53420639038086,
UserCF_k40_n200_sh50_mc5,ok,17.6621716307191,0.6534035170002426,0.19407496500025445,17.076213836669922,
UserCF_k40_n200_sh80_mc2,ok,17.6522665297045,0.688276925000082,0.20961418800015963,19.209049224853516,
UserCF_k40_n200_sh80_mc3,ok,17.655270495823185,0.6986011079998207,0.23882166400017013,18.53420639038086,
UserCF_k40_n200_sh80_mc5,ok,17.672532172820205,0.639234543999919,0.21916566900017642,17.076213836669922,
UserCF_k40_n400_sh30_mc2,ok,17.618691299151344,0.9361336060001122,0.2775466409998444,26.713130950927734,
UserCF_k40_n400_sh30_mc3,ok,17.620972972984887,0.6435746490001293,0.2913650189998407,23.93246841430664,
UserCF_k40_n400_sh30_mc5,ok,17.657437189450484,0.6770759060000273,0.2535928900001636,20.33938217163086,
UserCF_k40_n400_sh50_mc2,ok,17.63294050111039,0.6314217200001622,0.2277882760004104,26.713130950927734,
UserCF_k40_n400_sh50_mc3,ok,17.63558330453254,0.6128565469998648,0.2970326260001457,23.93246841430664,
UserCF_k40_n400_sh50_mc5,ok,17.666968696639508,0.6878059199998461,0.28056492199993954,20.33938217163086,
UserCF_k40_n400_sh80_mc2,ok,17.64586972322697,0.6709868849998202,0.2550967900001524,26.713130950927734,
UserCF_k40_n400_sh80_mc3,ok,17.648210567639772,0.7841186440000456,0.25750107200019556,23.93246841430664,
UserCF_k40_n400_sh80_mc5,ok,17.673100456686825,0.6647972230002779,0.24037996900005965,20.33938217163086,
UserCF_k80_n120_sh30_mc2,ok,17.70905052795261,0.6764999350002654,0.18140261300004568,14.66104507446289,
UserCF_k80_n120_sh30_mc3,ok,17.709595939813667,0.6310573800001293,0.15462994500012428,14.471199035644531,
UserCF_k80_n120_sh30_mc5,ok,17.721172480808757,0.667366181000034,0.1574415569998564,13.96221923828125,
UserCF_k80_n120_sh50_mc2,ok,17.671757621540646,0.7042350520000582,0.16395379300001878,14.66104507446289,
UserCF_k80_n120_sh50_mc3,ok,17.672434612985583,0.7090192529999513,0.21403154500012533,14.471199035644531,
UserCF_k80_n120_sh50_mc5,ok,17.68977030679678,0.5854997749997892,0.16747239899996202,13.96221923828125,
UserCF_k80_n120_sh80_mc2,ok,17.66630276096676,0.6178606919997947,0.17533929699993678,14.66104507446289,
