seed,fold,model,rmse,train_seconds,predict_seconds,memory_mb
2026,3,ItemCF_official,17.148941,5.3694,0.9439,97.4892
2026,3,ItemCF_tuned_baseline,17.025902,6.1717,1.1940,121.2979
2026,3,MF_official,17.227824,15.3759,0.0348,0.9502
2026,3,MF_tuned,17.183658,16.0949,0.0325,1.0873
2026,3,UserCF_tuned,17.567459,1.0559,0.3465,26.4859
2026,3,Ensemble_official,16.981499,20.7454,0.9786,98.4394
2026,3,Ensemble_pair_tuned,16.941594,22.2665,1.2264,122.3852
2026,3,Ensemble_triple_tuned,16.921771,23.3224,1.5730,148.8710
2026,4,Baseline_default,17.484324,0.6457,0.0051,0.7452
2026,4,Baseline_tuned_ru6_ri10,17.375079,0.7129,0.0064,0.7452
2026,4,ItemCF_official,17.101887,5.3090,1.1187,97.4103
2026,4,ItemCF_tuned_baseline,16.998400,5.8366,1.2326,121.2118
2026,4,MF_official,17.154367,16.2634,0.0218,0.9512
2026,4,MF_tuned,17.085850,15.8066,0.0545,1.0885
2026,4,UserCF_tuned,17.538639,1.1187,0.4410,26.6868
2026,4,Ensemble_official,16.937152,21.5724,1.1405,98.3615
2026,4,Ensemble_pair_tuned,16.891961,21.6431,1.2871,122.3002
2026,4,Ensemble_triple_tuned,16.867453,22.7618,1.7282,148.9870
2026,5,Baseline_default,17.504256,0.6947,0.0124,0.7464
2026,5,Baseline_tuned_ru6_ri10,17.396361,0.6403,0.0064,0.7464
2026,5,ItemCF_official,17.060635,5.7189,1.0692,97.5583
2026,5,ItemCF_tuned_baseline,16.968179,6.0398,1.2180,121.3846
2026,5,MF_official,17.188664,16.8663,0.0250,0.9529
2026,5,MF_tuned,17.090671,16.4208,0.0417,1.0905
2026,5,UserCF_tuned,17.510143,1.2236,0.4062,26.5862
2026,5,Ensemble_official,16.920098,22.5853,1.0942,98.5112
2026,5,Ensemble_pair_tuned,16.866029,22.4606,1.2597,122.4751
2026,5,Ensemble_triple_tuned,16.847122,23.6841,1.6658,149.0613
2027,1,Baseline_default,17.435470,0.7192,0.0054,0.7453
2027,1,Baseline_tuned_ru6_ri10,17.333919,0.7726,0.0119,0.7453
2027,1,ItemCF_official,17.063929,5.3371,0.9570,97.5338
2027,1,ItemCF_tuned_baseline,16.938945,5.0548,1.2427,121.3588
2027,1,MF_official,17.151715,14.8771,0.0398,0.9513
2027,1,MF_tuned,17.057656,15.1124,0.0219,1.0887
2027,1,UserCF_tuned,17.401629,1.2549,0.4650,26.6264
2027,1,Ensemble_official,16.909710,20.2142,0.9967,98.4851
2027,1,Ensemble_pair_tuned,16.842209,20.1672,1.2646,122.4475
2027,1,Ensemble_triple_tuned,16.815704,21.4220,1.7297,149.0739
2027,2,Baseline_default,17.547243,0.6068,0.0047,0.7466
2027,2,Baseline_tuned_ru6_ri10,17.430400,0.7090,0.0043,0.7466
2027,2,ItemCF_official,17.169591,4.9656,0.9896,97.4782
2027,2,ItemCF_tuned_baseline,17.045154,5.2549,1.2244,121.1608
2027,2,MF_official,17.195686,13.9959,0.0442,0.9532
2027,2,MF_tuned,17.171630,16.3795,0.0383,1.0909
2027,2,UserCF_tuned,17.571005,1.7517,0.5559,26.5339
2027,2,Ensemble_official,16.992125,18.9615,1.0338,98.4314
2027,2,Ensemble_pair_tuned,16.948218,21.6343,1.2628,122.2517
2027,2,Ensemble_triple_tuned,16.927958,23.3860,1.8187,148.7855
2027,3,Baseline_default,17.508382,0.7880,0.0070,0.7467
2027,3,Baseline_tuned_ru6_ri10,17.406391,0.8339,0.0100,0.7467
2027,3,ItemCF_official,17.120624,5.3091,0.9853,97.2163
2027,3,ItemCF_tuned_baseline,16.994383,5.6090,1.2085,121.0065
2027,3,MF_official,17.139916,15.1810,0.0348,0.9534
2027,3,MF_tuned,17.073178,15.9011,0.0256,1.0911
2027,3,UserCF_tuned,17.593930,1.5413,0.4218,26.5932
2027,3,Ensemble_official,16.926266,20.4900,1.0201,98.1697
2027,3,Ensemble_pair_tuned,16.882039,21.5101,1.2341,122.0976
2027,3,Ensemble_triple_tuned,16.872013,23.0514,1.6560,148.6908
2027,4,Baseline_default,17.463306,0.7109,0.0095,0.7457
2027,4,Baseline_tuned_ru6_ri10,17.360547,0.7199,0.0066,0.7457
2027,4,ItemCF_official,17.029379,6.1559,0.9759,97.8632
2027,4,ItemCF_tuned_baseline,16.933518,5.2672,1.1895,121.7138
2027,4,MF_official,17.088943,15.6581,0.0559,0.9519
2027,4,MF_tuned,17.070399,16.8983,0.0458,1.0894
2027,4,UserCF_tuned,17.525231,1.7845,0.4453,26.6638
2027,4,Ensemble_official,16.867561,21.8140,1.0319,98.8151
2027,4,Ensemble_pair_tuned,16.850232,22.1655,1.2353,122.8032
2027,4,Ensemble_triple_tuned,16.835788,23.9500,1.6806,149.4670
2027,5,Baseline_default,17.700312,0.6505,0.0054,0.7454
2027,5,Baseline_tuned_ru6_ri10,17.592433,0.6954,0.0100,0.7454
2027,5,ItemCF_official,17.288850,5.4261,0.9262,97.6687
2027,5,ItemCF_tuned_baseline,17.204719,5.8943,1.3923,121.5122
2027,5,MF_official,17.364662,15.9644,0.0342,0.9514
2027,5,MF_tuned,17.274866,15.3758,0.0244,1.0888
2027,5,UserCF_tuned,17.661598,1.2654,0.3460,26.5352
2027,5,Ensemble_official,17.130025,21.3905,0.9604,98.6201
2027,5,Ensemble_pair_tuned,17.085770,21.2700,1.4167,122.6010
2027,5,Ensemble_triple_tuned,17.055809,22.5355,1.7628,149.1362
2028,1,Baseline_default,17.456008,0.6947,0.0083,0.7443
2028,1,Baseline_tuned_ru6_ri10,17.351781,0.5751,0.0073,0.7443
2028,1,ItemCF_official,17.004668,6.1885,0.9438,98.1137
2028,1,ItemCF_tuned_baseline,16.923619,5.2754,1.0936,122.0919
2028,1,MF_official,17.118660,15.1973,0.0376,0.9497
2028,1,MF_tuned,17.028381,15.1101,0.0226,1.0867
2028,1,UserCF_tuned,17.497316,1.1087,0.3970,26.5042
2028,1,Ensemble_official,16.859052,21.3858,0.9814,99.0634
2028,1,Ensemble_pair_tuned,16.818067,20.3855,1.1162,123.1786
